# y   z   Energy(Ry)
0.000000   0.000000   
0.000000   0.033333   -344.13089742
0.000000   0.066667   -408.42680015
0.000000   0.100000   -429.30902898
0.000000   0.133333   -438.85936438
0.000000   0.166667   -443.66247856
0.000000   0.200000   -446.16708518
0.000000   0.233333   -447.52908107
0.000000   0.266666   -448.31006186
0.000000   0.300000   -448.78386118
0.000000   0.333333   -449.08974616
0.000000   0.366666   -449.29632531
0.000000   0.400000   -449.43700093
0.000000   0.433333   -449.52894266
0.000000   0.466666   -449.58107347
0.000000   0.500000   -449.59796684
0.000000   0.533333   -449.58107449
0.000000   0.566666   -449.52894479
0.000000   0.599999   -449.43700436
0.000000   0.633333   -449.29633041
0.000000   0.666666   -449.08975362
0.000000   0.699999   -448.78387240
0.000000   0.733333   -448.31007974
0.000000   0.766666   -447.52911134
0.000000   0.799999   -446.16713929
0.000000   0.833333   -443.66247856
0.000000   0.866666   -438.85956221
0.000000   0.899999   -429.30943182
0.000000   0.933332   -408.42775676
0.000000   0.966666   -344.13476430
0.000000   0.999999   
0.033333   0.000000   -344.13089742
0.033333   0.033333   -381.85928050
0.033333   0.066667   -415.13653494
0.033333   0.100000   -431.35857628
0.033333   0.133333   -439.63634389
0.033333   0.166667   -443.98700119
0.033333   0.200000   -446.31340830
0.033333   0.233333   -447.60072967
0.033333   0.266666   -448.34819345
0.033333   0.300000   -448.80613235
0.033333   0.333333   -449.10358461
0.033333   0.366666   -449.30511845
0.033333   0.400000   -449.44276264
0.033333   0.433333   -449.53288364
0.033333   0.466666   -449.58402740
0.033333   0.500000   -449.60060679
0.033333   0.533333   -449.58402840
0.033333   0.566666   -449.53288573
0.033333   0.599999   -449.44276600
0.033333   0.633333   -449.30512342
0.033333   0.666666   -449.10359188
0.033333   0.699999   -448.80614323
0.033333   0.733333   -448.34821066
0.033333   0.766666   -447.60075849
0.033333   0.799999   -446.31345909
0.033333   0.833333   -443.98700120
0.033333   0.866666   -439.63652044
0.033333   0.899999   -431.35891482
0.033333   0.933332   -415.13721455
0.033333   0.966666   -381.86064509
0.033333   0.999999   -344.13089754
0.066667   0.000000   -408.42680016
0.066667   0.033333   -415.13653493
0.066667   0.066667   -426.84227787
0.066667   0.100000   -435.86705579
0.066667   0.133333   -441.52298237
0.066667   0.166667   -444.82021796
0.066667   0.200000   -446.70455726
0.066667   0.233333   -447.79851337
0.066667   0.266666   -448.45597327
0.066667   0.300000   -448.86943267
0.066667   0.333333   -449.14284767
0.066667   0.366666   -449.33024316
0.066667   0.400000   -449.45927658
0.066667   0.433333   -449.54417413
0.066667   0.466666   -449.59247350
0.066667   0.500000   -449.60815313
0.066667   0.533333   -449.59247444
0.066667   0.566666   -449.54417610
0.066667   0.599999   -449.45927974
0.066667   0.633333   -449.33024783
0.066667   0.666666   -449.14285439
0.066667   0.699999   -448.86944261
0.066667   0.733333   -448.45598864
0.066667   0.766666   -447.79853837
0.066667   0.799999   -446.70459958
0.066667   0.833333   -444.82021796
0.066667   0.866666   -441.52311123
0.066667   0.899999   -435.86727195
0.066667   0.933332   -426.84260284
0.066667   0.966666   -415.13687466
0.066667   0.999999   -408.42680031
0.100000   0.000000   -429.30902897
0.100000   0.033333   -431.35857626
0.100000   0.066667   -435.86705579
0.100000   0.100000   -440.33094475
0.100000   0.133333   -443.66428203
0.100000   0.166667   -445.85472298
0.100000   0.200000   -447.22348653
0.100000   0.233333   -448.07346093
0.100000   0.266666   -448.61067905
0.100000   0.300000   -448.96208037
0.100000   0.333333   -449.20122475
0.100000   0.366666   -449.36822018
0.100000   0.400000   -449.48452238
0.100000   0.433333   -449.56149015
0.100000   0.466666   -449.60542837
0.100000   0.500000   -449.61971531
0.100000   0.533333   -449.60542923
0.100000   0.566666   -449.56149194
0.100000   0.599999   -449.48452524
0.100000   0.633333   -449.36822435
0.100000   0.666666   -449.20123070
0.100000   0.699999   -448.96208898
0.100000   0.733333   -448.61069190
0.100000   0.766666   -448.07348093
0.100000   0.799999   -447.22351854
0.100000   0.833333   -445.85472298
0.100000   0.866666   -443.66436356
0.100000   0.899999   -440.33106348
0.100000   0.933332   -435.86719980
0.100000   0.966666   -431.35868902
0.100000   0.999999   -429.30902913
0.133333   0.000000   -438.85936436
0.133333   0.033333   -439.63634388
0.133333   0.066667   -441.52298236
0.133333   0.100000   -443.66428202
0.133333   0.133333   -445.48656254
0.133333   0.166667   -446.82914360
0.133333   0.200000   -447.75216212
0.133333   0.233333   -448.37006358
0.133333   0.266666   -448.78492888
0.133333   0.300000   -449.06981876
0.133333   0.333333   -449.27064195
0.133333   0.366666   -449.41414161
0.133333   0.400000   -449.51540796
0.133333   0.433333   -449.58287217
0.133333   0.466666   -449.62152830
0.133333   0.500000   -449.63412625
0.133333   0.533333   -449.62152905
0.133333   0.566666   -449.58287375
0.133333   0.599999   -449.51541046
0.133333   0.633333   -449.41414522
0.133333   0.666666   -449.27064702
0.133333   0.699999   -449.06982587
0.133333   0.733333   -448.78493909
0.133333   0.766666   -448.37007863
0.133333   0.799999   -447.75218465
0.133333   0.833333   -446.82914360
0.133333   0.866666   -445.48660988
0.133333   0.899999   -443.66434318
